Name,ID,Year,Yahoo Fantasy Points,IP,Hits,Strikeouts,Walks,Earned Runs,Wins,Losses,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Gomber, Austin",596295,2022,132.6,124.2,137,95,34,77,5,7,0.267,0.44,0.347,0.33,0.316,0.173,88.1,12.4,35.7,8.5,35.9,77.12521704,93.70042296,21.9,49
"Gonzales, Marco",594835,2022,215,183,194,103,50,84,10,15,0.266,0.435,0.337,0.33,0.32,0.169,86.7,14.5,32.3,7.2,35,74.96857599,93.26515159,18.3,51
"Gonzales, Marco",594835,2021,264.3,143.1,125,108,42,63,10,6,0.257,0.483,0.321,0.341,0.317,0.226,88.1,20.6,37.4,11.4,37,76.73803423,93.8540911,20.4,48
"Gore, MacKenzie",669022,2023,219.3,136.1,134,151,57,67,7,10,0.261,0.472,0.339,0.347,0.334,0.212,89.9,14.5,35.1,12.1,43.7,78.41922712,94.96701245,27.9,48.5
"Gray, Jon",592351,2023,271.3,157.1,149,142,54,72,9,8,0.26,0.415,0.317,0.325,0.33,0.155,89.4,13.4,35.5,6.4,39.5,78.99116559,94.12679149,26.3,50.8
"Gray, Jon",592351,2022,259.3,127.1,105,134,39,56,7,7,0.23,0.367,0.292,0.295,0.296,0.137,88,11.1,34.8,6.1,38,76.50369577,93.82489522,25.9,48.9
"Gray, Jon",592351,2021,234,149,140,157,58,76,8,12,0.235,0.378,0.32,0.305,0.314,0.143,89,9.5,30.4,6.9,38.2,77.82646212,94.2422327,26.7,45.3
"Gray, Josiah",680686,2023,225,159,152,143,80,69,8,13,0.254,0.433,0.332,0.342,0.349,0.179,87.6,16.8,35,9.4,36.7,75.91230901,93.71081269,26.1,46.4
"Gray, Josiah",680686,2022,215.6,148.2,136,154,66,83,7,10,0.219,0.419,0.35,0.319,0.308,0.2,87.4,19.7,33.6,10.7,36.9,75.5972015,93.71546048,26.9,44.8
"Gray, Sonny",543243,2023,410,184,156,183,55,57,8,8,0.244,0.364,0.27,0.296,0.306,0.12,89.1,9.6,32.9,6.9,39.2,78.43519514,94.12646475,26,47.7
"Gray, Sonny",543243,2021,259.3,135.1,115,155,50,63,7,9,0.216,0.325,0.3,0.279,0.296,0.109,86.6,8.8,31.6,4.7,32.1,74.85722702,93.19272332,26.1,43
"Greene, Hunter",668881,2022,223.6,125.2,104,164,48,62,5,13,0.219,0.393,0.318,0.31,0.305,0.174,89.7,20.7,35.6,9.4,40.1,79.38068617,94.28472254,31.9,48.8
"Greinke, Zack",425844,2023,117.3,142.1,158,97,23,80,2,15,0.29,0.479,0.332,0.344,0.322,0.189,89.6,11.9,32.6,7.7,38.8,79.09991318,94.18276731,17.3,46.8
"Greinke, Zack",425844,2022,163,137,157,73,27,56,4,9,0.284,0.441,0.321,0.336,0.322,0.157,88.9,12.6,34.4,6.8,39.6,78.55494563,93.73829935,17.3,46.2
"Greinke, Zack",425844,2021,300,171,164,120,36,79,11,6,0.266,0.43,0.309,0.319,0.306,0.164,88.3,10.6,35.3,6.5,35.4,77.61619719,93.63562498,21.8,46
"Happ, J.A.",457918,2021,167.3,152.1,177,122,48,98,10,8,0.275,0.503,0.361,0.356,0.33,0.228,90.2,16.4,38.4,11.6,41.8,79.19937683,94.84715666,19.3,47.9
"Harvey, Matt",518774,2021,61.6,127.2,160,95,37,89,6,14,0.289,0.476,0.355,0.351,0.34,0.188,89.5,13.3,36.4,7.9,40.9,78.82042609,94.31455384,18.9,48
"Heaney, Andrew",571760,2023,273.3,147.1,143,151,60,68,10,6,0.24,0.429,0.335,0.327,0.323,0.189,90.1,14.8,31.4,10.2,38.6,80.11818885,94.26314344,26.4,48.2
"Heaney, Andrew",571760,2021,193.6,129.2,130,150,41,84,8,9,0.237,0.431,0.341,0.318,0.303,0.193,89.3,18.5,33.8,9.4,40.8,78.77852433,94.07002713,28.2,48.7
"Hendricks, Kyle",543294,2023,215,137,138,93,27,57,6,8,0.269,0.414,0.296,0.313,0.308,0.145,85.2,11.2,33.7,6.2,31.5,72.3316,93.05979777,21.1,46.7
"Hendricks, Kyle",543294,2021,273,181,200,131,44,96,14,7,0.276,0.455,0.345,0.339,0.329,0.179,86.3,11.1,37.4,8.4,33,74.20527837,93.21796525,20.1,48.6
"Hill, Rich",448179,2023,138.3,146.1,165,129,58,88,8,14,0.281,0.481,0.359,0.36,0.352,0.2,89.4,14.3,37.3,10.1,39.9,78.8506176,94.13526784,19.3,45.4
"Hill, Rich",448179,2022,206.3,124.1,125,109,37,59,8,7,0.24,0.411,0.325,0.313,0.3,0.171,88.2,14.9,31.6,8.2,34,77.42295346,93.66661046,22,47.4
"Hill, Rich",448179,2021,291.6,158.2,137,150,55,68,7,8,0.24,0.414,0.313,0.323,0.323,0.174,88.3,18,37,8.9,34.8,77.36684447,93.71779395,23.1,46.1
"Houser, Adrian",605288,2021,267.3,142.1,118,105,64,51,10,6,0.24,0.359,0.297,0.312,0.334,0.119,87.1,1.4,28.1,5,36,75.18679829,93.59679932,18.4,44.4
"Hudson, Dakota",641712,2022,160.6,139.2,141,78,61,69,8,7,0.276,0.409,0.326,0.343,0.361,0.133,89,6.3,31.7,6,40.4,77.56953556,94.4102429,17.6,44
"Irvin, Cole",608344,2022,281,181,174,128,36,80,9,13,0.258,0.451,0.306,0.324,0.301,0.192,89.4,15.5,36.1,9.6,39.5,79.40257422,93.91250751,20.5,52
"Irvin, Cole",608344,2021,229.3,178.1,195,125,42,84,10,15,0.281,0.445,0.323,0.338,0.331,0.164,89.3,16.2,35.9,7.3,39.3,78.89051242,94.04823884,19.2,52
"Irvin, Jake",663623,2023,146,121,118,99,54,62,3,7,0.259,0.446,0.335,0.345,0.345,0.187,90.4,14.7,33.1,10.3,39.6,80.19321484,94.67182425,17.8,43.7
"Javier, Cristian",664299,2023,301,162,143,159,62,82,10,5,0.23,0.443,0.317,0.323,0.307,0.213,89.1,23.8,38.1,9.4,38.3,78.87717522,93.87623145,27.1,48
